Wojciech Szczęsny *,Poland,5
Jean Tigana,France,5
Kieran Trippier *,England,5
Tomáš Vaclík *,Czech Republic,5
Willy van de Kerkhof,Netherlands,5
Gerald Vanenburg,Netherlands,5
Marco Verratti *,Italy,5
Johann Vogel,Switzerland,5
Johan Vonlanthen,Switzerland,5
Zisis Vryzas,Greece,5
Ognjen Vukojević,Croatia,5
Jon Walters,Ireland,5
Danny Ward *,Wales,5
Daniel Wass *,Denmark,5
Glenn Whelan,Ireland,5
Sergen Yalçin,Turkey,5
Roman Yaremchuk *,Ukraine,5
Ilya Zabarnyi *,Ukraine,5
Aleksandr Zavarov,USSR,5
Jovan Aćimović,Yugoslavia,4
 Adrien Silva *,Portugal,4
Fatih Akyel,Turkey,4
Flórián Albert,Hungary,4
Niclas Alexandersson,Sweden,4
 Alkorta,Spain,4
Marcus Allbäck,Sweden,4
Dele Alli *,England,4
 Álvaro,Portugal,4
Carlo Ancelotti,Italy,4
Henrik Andersen,Denmark,4
Jocelyn Angloma,France,4
 António Sousa,Portugal,4
Frank Arnesen,Denmark,4
Aljoša Asanović,Croatia,4
Emre Aşık,Turkey,4
Ludwig Augustinsson *,Sweden,4
Daniel Bachmann *,Austria,4
Milan Badelj *,Croatia,4
Federico Balzaretti,Italy,4
Anatoliy Banishevskiy,USSR,4
Franco Baresi,Italy,4
Jozef Barmoš,CSSR,4
Julian Baumgartlinger,Austria,4
Christoph Baumgartner *,Austria,4
Mikkel Beck,Denmark,4
Franz Beckenbauer,Germany,4
Igor Belanov,USSR,4
Miodrag Belodedici,Romania,4
Romeo Benetti,Italy,4
 Bento,Portugal,4
Aleksey Berezutskiy,Russia,4
Giuseppe Bergomi,Italy,4
 Bernardo Silva *,Portugal,4
Jens Bertelsen,Denmark,4
Roberto Bettega,Italy,4
Oliver Bierhoff,Germany,4
Slaven Bilić,Croatia,4
Daley Blind *,Netherlands,4
Zvonimir Boban,Croatia,4
Winston Bogarde,Netherlands,4
René Bolf,Czech Republic,4
Jan Bořil *,Czech Republic,4
Daniel Borimirov,Bulgaria,4
Uli Borowka,Germany,4
Paul Bosvelt,Netherlands,4
Khalid Boulahrouz,Netherlands,4
Tommy Boyd,Scotland,4
Robbie Brady *,Ireland,4
Tomas Brolin,Sweden,4
 Bruno Fernandes *,Portugal,4
Okan Buruk,Turkey,4
Ricardo Cabanas,Switzerland,4
Gary Cahill,England,4
Emre Can *,Germany,4
Craig Cathcart,Northern Ireland,4
Franco Causio,Italy,4
 Cédric *,Portugal,4
 Chalana,Portugal,4
Victor Claesson *,Sweden,4
Séamus Coleman *,Ireland,4
Fulvio Collovati,Italy,4
Julien Cools,Belgium,4
Andreas Cornelius *,Denmark,4
Jordi Cruyff,Netherlands,4
Martin Dahlin,Sweden,4
Stuart Dallas *,Northern Ireland,4
Marcus Danielson *,Sweden,4
Matteo Darmian *,Italy,4
 David Villa,Spain,4
Steven Davis,Northern Ireland,4
Luigi de Agostini,Italy,4
 De Gea,Spain,4
Frenkie de Jong *,Netherlands,4
Johan de Kock,Netherlands,4
Fernando De Napoli,Italy,4
Mattia De Sciglio *,Italy,4
Stefan de Vrij *,Netherlands,4
Mathieu Debuchy,France,4
Anatoliy Demyanenko,USSR,4
Memphis Depay *,Netherlands,4
Eren Derdiyok,Switzerland,4
Luigi Di Biagio,Italy,4
Angelo Di Livio,Italy,4
Eric Dier *,England,4
 Diogo Jota *,Portugal,4
Johan Djourou,Switzerland,4
Igor Dobrovolskiy,RussiaCIS,4
Kasper Dolberg *,Denmark,4
Thomas Doll,Germany,4
Ljubinko Drulović,Yugoslavia,4
Denzel Dumfries *,Netherlands,4
Ján Ďurica,Slovakia,4
Blerim Džemaili,Switzerland,4
Balázs Dzsudzsák *,Hungary,4
Miroslav Đukić,Yugoslavia,4
 Éder *,Italy,4
 Emerson *,Italy,4
Orlando Engelaar,Netherlands,4
Christian Eriksen *,Denmark,4
Jan Eriksson,Sweden,4
 Eurico,Portugal,4
Jonny Evans *,Northern Ireland,4
Łukasz Fabiański *,Poland,4
Riccardo Ferri,Italy,4
Attila Fiola *,Hungary,4
 Frasco,Portugal,4
Steffen Freund,Germany,4
Clemens Fritz,Germany,4
Christian Fuchs,Austria,4
Kevin Gallacher,Scotland,4
Gennaro Gattuso,Italy,4
Claudio Gentile,Italy,4
Zoltán Gera,Hungary,4
Eric Gerets,Belgium,4
Giuseppe Giannini,Italy,4
Matthias Ginter *,Germany,4
Denis Glushakov *,Russia,4
Serge Gnabry *,Germany,4
Robin Gosens *,Germany,4
Sergey Gotsmanov,USSR,4
Francesco Graziani,Italy,4
Fabio Grosso,Italy,4
 Güiza,Spain,4
Richárd Guzmics,Hungary,4
Joško Gvardiol *,Croatia,4
Daniel Gygax,Switzerland,4
Kai Havertz *,Germany,4
Thorgan Hazard *,Belgium,4
Marek Heinz,Czech Republic,4
 Hélder,Portugal,4
Jeff Hendrick *,Ireland,4
Matthias Herget,Germany,4
Adam Hložek *,Czech Republic,4
Glenn Hoddle,England,4
Uli Hoeneß,Germany,4
Wes Hoolahan,Ireland,4
Patrik Hrošovský *,Slovakia,4
Roman Hubník,Czech Republic,4
 Hugo Almeida,Portugal,4
Klaas-Jan Huntelaar,Netherlands,4
Eike Immel,Germany,4
Klas Ingesson,Sweden,4
Filippo Inzaghi,Italy,4
Alexander Isak *,Sweden,4
Yuriy Istomin,USSR,4
Valentin Ivanov,USSR,4
Marat Izmailov,Russia,4
Andreas Jakobsson,Sweden,4
Dan James *,Wales,4
David James,England,4
Robert Jarni,Croatia,4
Petr Jiráček,Czech Republic,4
Martin Jiránek,Czech Republic,4
 João Pinto,Portugal,4
Glen Johnson,England,4
 Jordão,Portugal,4
 José Fonte *,Portugal,4
 Juanfran,Spain,4
Vladimir Jugović,Yugoslavia,4
Pavel Kadeřábek *,Czech Republic,4
Nihat Kahveci,Turkey,4
Saša Kalajdžić *,Austria,4
Manfred Kaltz,Germany,4
Vladimir Kaplichniy,USSR,4
Bartosz Kapustka *,Poland,4
Aleksandr Kerzhakov,Russia,4
Dmitriy Kharin,RussiaCIS,4
Wim Kieft,Netherlands,4
Presnel Kimpembe *,France,4
Gábor Király,Hungary,4
Kees Kist,Netherlands,4
