,Ragnar Sigurðsson,Iceland,5,1,0,0.20
,Libor Sionko,Czech Republic,3,1,0,0.33
,Milan Škoda *,Czech Republic,2,1,0,0.50
,Milan Škriniar *,Slovakia,5,1,0,0.20
,Darijo Srna,Croatia,12,1,0,0.08
,Sean St Ledger,Ireland,3,1,0,0.33
,Zoltán Stieber *,Hungary,3,1,0,0.33
,Dragan Stojković,Yugoslavia,7,1,1,0.14
,Daniel Sturridge,England,3,1,0,0.33
,Jan Suchopárek,Czech Republic,5,1,0,0.20
,Ján Švehlík,CSSR,1,1,0,1.00
,Václav Svěrkoš,Czech Republic,1,1,0,1.00
,Marco Tardelli,Italy,4,1,0,0.25
,Neil Taylor,Wales,6,1,0,0.17
,Omari Tetradze,Russia,3,1,0,0.33
,Olaf Thon,Germany,4,1,0,0.25
,Dmitriy Torbinskiy,Russia,3,1,0,0.33
,Arnór Traustason *,Iceland,2,1,0,0.50
,Ilia Tsymbalar,Russia,3,1,0,0.33
,Igor Tudor,Croatia,2,1,0,0.50
,Ozan Tufan *,Turkey,6,1,0,0.17
,Kubilay Türkyilmaz,Switzerland,3,1,1,0.33
, Valerón,Spain,4,1,0,0.25
,Giovanni van Bronckhorst,Netherlands,11,1,0,0.09
,Rafael van der Vaart,Netherlands,9,1,0,0.11
,Paul Van Himst,Belgium,2,1,0,0.50
,Erwin Vandenbergh,Belgium,6,1,0,0.17
,René Vandereycken,Belgium,7,1,1,0.14
,Jamie Vardy *,England,3,1,0,0.33
, Varela,Portugal,3,1,0,0.33
,Ivica Vastić,Austria,2,1,1,0.50
,Frank Vercauteren,Belgium,3,1,0,0.33
,Māris Verpakovskis,Latvia,3,1,0,0.33
451,František Veselý,CSSR,2,1,0,0.50
,Gianluca Vialli,Italy,4,1,0,0.25
,Kim Vilfort,Denmark,8,1,0,0.13
,Jean Vincent,France,2,1,0,0.50
,Ladislav Vízek,CSSR,4,1,0,0.25
,Goran Vlaović,Croatia,4,1,0,0.25
,Nikola Vlašić *,Croatia,4,1,0,0.25
,Sam Vokes *,Wales,4,1,0,0.25
,Johan Vonlanthen,Switzerland,5,1,0,0.20
,Valeriy Voronin,USSR,2,1,0,0.50
,Zisis Vryzas,Greece,5,1,0,0.20
,Theo Walcott,England,4,1,0,0.25
,Wout Weghorst *,Netherlands,4,1,0,0.25
,Vladimír Weiss *,Slovakia,6,1,0,0.17
,Danny Welbeck *,England,4,1,0,0.25
,Ronnie Whelan,Ireland,3,1,0,0.33
,Ray Wilkins,England,3,1,0,0.33
,Ashley Williams,Wales,6,1,0,0.17
