,Player,Country,Matches,Active
480,Kári Árnason,Iceland,5,False
481,Azpilicueta,Spain,5,True
482,Holger Badstuber,Germany,5,False
483,Nick Barmby,England,5,False
484,Joël Bats,France,5,False
485,Patrick Battiston,France,5,False
486,Vasiliy Berezutskiy,Russia,5,False
487,Federico Bernardeschi,Italy,5,True
488,Diniyar Bilyaletdinov,Russia,5,False
489,Birkir Bjarnason,Iceland,5,True
490,Fredi Bobic,Germany,5,False
491,Marco Bode,Germany,5,False
492,Jón Böðvarsson,Iceland,5,True
493,Maxime Bossis,France,5,False
494,Georgiy Bushchan,Ukraine,5,True
495,Søren Busk,Denmark,5,False
496,Yohan Cabaye,France,5,False
497,Hakan Çalhanoğlu,Turkey,5,True
498,Capdevila,Spain,5,False
499,Carrasco,Spain,5,False
500,Ondřej Čelůstka,Czech Republic,5,True
501,Stéphane Chapuisat,Switzerland,5,False
502,Kim Christofte,Denmark,5,False
503,Vladimír Coufal,Czech Republic,5,True
504,Mikkel Damsgaard,Denmark,5,True
505,Dani Olmo,Spain,5,True
506,Rinat Dasaev,USSR,5,False
507,Bernard Dietz,Germany,5,False
508,Jean-François Domergue,France,5,False
509,Julian Draxler,Germany,5,True
510,Dariusz Dudka,Poland,5,False
511,Gordon Durie,Scotland,5,False
512,Dragan Džajić,Yugoslavia,5,False
513,Stefan Effenberg,Germany,5,False
514,Johan Elmander,Sweden,5,False
515,Nico Elvedi,Switzerland,5,True
516,Abdullah Ercan,Turkey,5,False
517,Fábio Coentrão,Portugal,5,False
518,Iulian Filipescu,Romania,5,False
519,Bernd Förster,Germany,5,False
520,Remo Freuler,Switzerland,5,True
521,Paul Gascoigne,England,5,False
522,Mario Gavranović,Switzerland,5,True
523,Theodor Gebre Selassie,Czech Republic,5,False
524,Gerard Moreno,Spain,5,True
525,Alain Giresse,France,5,False
526,Mario Götze,Germany,5,True
527,Thomas Gravesen,Denmark,5,False
528,Jack Grealish,England,5,True
529,Jóhann Guðmundsson,Iceland,5,True
530,Vincent Guérin,France,5,False
531,Aron Gunnarsson,Iceland,5,True
532,Hannes Halldórsson,Iceland,5,False
533,Martin Harnik,Austria,5,True
534,Stéphane Henchoz,Switzerland,5,False
535,Wayne Hennessey,Wales,5,True
536,Thomas Hitzlsperger,Germany,5,False
537,Tomáš Holeš,Czech Republic,5,True
538,Tomáš Hubočan,Slovakia,5,True
539,Tomáš Hübschman,Czech Republic,5,True
540,Bodo Illgner,Germany,5,False
541,Stefan Ilsanker,Austria,5,False
542,Jakub Jankto,Czech Republic,5,True
543,Marcell Jansen,Germany,5,False
544,Artur Jędrzejczyk,Poland,5,True
545,João Pereira,Portugal,5,False
546,Tomasz Jodłowiec,Poland,5,True
547,Jorge Costa,Portugal,5,False
548,Martin Jørgensen,Denmark,5,False
549,Julio Alberto,Spain,5,False
550,Michal Kadlec,Czech Republic,5,True
551,Miroslav Kadlec,Czech Republic,5,False
552,Tomáš Kalas,Czech Republic,5,True
553,Andrey Kanchelskis,RussiaCIS,5,False
554,Oleksandr Karavayev,Ukraine,5,True
555,Christian Karembeu,France,5,False
556,Colin Kâzım-Richards,Turkey,5,False
557,Robbie Keane,Ireland,5,False
558,Vagiz Khidiyatullin,USSR,5,False
559,László Kleinheisler,Hungary,5,True
560,Igor Kolyvanov,RussiaCIS,5,False
561,Tayfun Korkut,Turkey,5,False
562,Ruud Krol,Netherlands,5,False
563,Stefan Kuntz,Germany,5,False
564,Radoslav Látal,Czech Republic,5,False
565,David Limberský,Czech Republic,5,False
566,Manuel Locatelli,Italy,5,True
567,Patrice Loko,France,5,False
568,Gergő Lovrencsics,Hungary,5,True
569,Ioan Lupescu,Romania,5,False
570,Harry Maguire,England,5,True
571,Roy Makaay,Netherlands,5,False
572,Vyacheslav Malafeev,Russia,5,False
573,Florent Malouda,France,5,False
574,Marcos Senna,Spain,5,False
575,Lukáš Masopust,Czech Republic,5,True
576,Joris Mathijsen,Netherlands,5,False
577,Mykola Matvienko,Ukraine,5,True
578,Kevin Mbabu,Switzerland,5,True
579,James McClean,Ireland,5,True
580,Ally McCoist,Scotland,5,False
581,Stewart McKimmie,Scotland,5,False
582,Arkadiusz Milik,Poland,5,True
583,James Milner,England,5,True
584,Mason Mount,England,5,True
585,Arnold Mühren,Netherlands,5,False
586,Rafał Murawski,Poland,5,False
587,Radja Nainggolan,Belgium,5,True
588,Phil Neville,England,5,False
589,Roland Nilsson,Sweden,5,False
590,Jens Nowotny,Germany,5,False
