,Home_Rating,Away_Rating,Stage,HT_H,HT_A,H,A,Extra Time,Penatly
296,1744,1973,0,0,1,1,4,0,0
297,1684,2100,0,0,0,0,2,0,0
298,1747,1603,0,1,1,3,1,0,0
299,1949,1814,0,0,0,3,2,0,0
300,1814,1603,0,2,0,2,1,0,0
301,1949,1747,0,1,0,2,0,0,0
302,1603,1949,0,0,1,0,3,0,0
303,1814,1747,0,0,1,0,1,0,0
304,1982,1825,0,0,0,1,0,0,0
305,1678,1768,0,0,1,0,2,0,0
306,1825,1768,0,0,1,1,1,0,0
307,1982,1678,0,0,0,0,0,0,0
308,1825,1678,0,1,1,3,1,0,0
309,1768,1982,0,0,1,0,1,0,0
310,1796,1656,0,0,1,1,2,0,0
311,2033,1850,0,0,0,0,0,0,0
312,1850,1656,0,0,0,1,0,0,0
313,2033,1796,0,1,0,1,1,0,0
314,1850,1796,0,1,0,3,2,0,0
315,1656,2033,0,0,2,0,5,0,0
316,1741,2040,0,0,0,0,3,0,0
317,2087,1936,0,1,0,1,0,0,0
318,1741,2087,0,1,0,1,1,0,0
319,2040,1936,0,1,2,2,4,0,0
320,2040,2087,0,1,1,2,2,0,0
321,1936,1741,0,0,1,2,2,0,0
322,1833,1973,1,0,1,0,4,0,0
323,2014,1747,1,0,0,2,1,1,0
324,1949,1768,1,0,0,0,2,0,0
325,2100,2040,1,1,0,1,0,0,0
326,1825,2033,1,1,1,3,5,1,0
327,2087,1890,1,0,1,4,5,0,1
328,1982,1936,1,0,0,2,0,0,0
329,1850,1814,1,1,1,1,2,1,0
330,1890,2033,2,0,1,1,3,0,1
331,2100,2014,2,1,2,1,2,0,0
332,1768,1973,2,0,2,1,2,0,0
333,1814,1982,2,0,1,0,4,0,0
334,2014,2033,3,0,0,4,2,0,1
335,1982,1973,3,1,1,2,1,1,0
336,2014,1982,5,0,1,3,2,0,1
